model,experiment,uncertainty,rouge,ifhr,wle,temperature,task,model_type
otg,th_en_th,4.975552258172461,0.19906379519784423,0.3851618327028163,0.9456721282809426,1.0,WTI - SUM,CPT
otg,th_th_en,4.891757468913695,0.24877218595648176,0.47503152585119796,0.8325388604008598,1.0,WTI - SUM,CPT
otg,th_th_th,4.207244281624627,0.28567242988418895,0.20491803278688525,0.7859152952692577,1.0,WTI - SUM,CPT
sailor,en_en_en,4.250446713101446,0.2546957551625301,0.0007566204287515764,0.06338311536050883,1.0,WTI - SUM,CPT
sailor,en_en_th,4.7166550487674845,0.06287139299858464,0.7992433795712484,0.07107993349866024,1.0,WTI - SUM,CPT
sailor,en_th_en,7.802267649105358,0.07578661996575461,0.7906858129315756,0.14307766639225464,1.0,WTI - SUM,CPT
sailor,en_th_th,5.111509083462793,0.22907857762861095,0.08681518845453272,0.10262110695879803,1.0,WTI - SUM,CPT
sailor,th_en_en,4.6393815070485935,0.24416547453407925,0.07200504413619167,0.07173161707872866,1.0,WTI - SUM,CPT
sailor,th_en_th,5.381345827078156,0.20463755382311213,0.019230769230769232,0.11741755517068644,1.0,WTI - SUM,CPT
sailor,th_th_en,8.484411073410463,0.02191336730825597,0.971500630517024,0.10533046395633867,1.0,WTI - SUM,CPT
sailor,th_th_th,4.937386953449493,0.23016171766719287,0.009962168978562422,0.07350773255158068,1.0,WTI - SUM,CPT
typhoon15,en_en_en,2.7605300150392127,0.3782278939054595,0.0008827238335435058,0.07558665589823149,1.0,WTI - SUM,CPT
typhoon15,en_en_th,3.208590096769099,0.3130568009852526,0.130390920554855,0.0675105934544557,1.0,WTI - SUM,CPT
typhoon15,en_th_en,2.8775319366521104,0.3819858270032683,0.00605296343001261,0.07760218215659342,1.0,WTI - SUM,CPT
typhoon15,en_th_th,2.752410128215123,0.3966929740601912,0.10378310214375788,0.06661664457808592,1.0,WTI - SUM,CPT
typhoon15,th_en_en,3.047493779501276,0.3615228602423245,0.009457755359394703,0.08132803260758362,1.0,WTI - SUM,CPT
typhoon15,th_en_th,2.8470037286662966,0.354325217558837,0.0017654476670870116,0.05926643066595953,1.0,WTI - SUM,CPT
typhoon15,th_th_en,3.210696574823039,0.3704633261742069,0.055989911727616644,0.07659372045575875,1.0,WTI - SUM,CPT
typhoon15,th_th_th,2.4250971409422455,0.4287947690427199,0.0015132408575031528,0.05574676286147553,1.0,WTI - SUM,CPT
gemma2,en_en_en,2.872320316454198,0.3170956520714978,0.0002525252525252525,0.06568614013217496,1.0,WTI - SUM,MLLM
gemma2,en_en_th,3.9188665550422885,0.23457554667812514,0.2598896094797734,0.2689685290548224,1.0,WTI - SUM,MLLM
gemma2,en_th_en,2.917147380363305,0.3440000474321809,0.0010691957942597329,0.0700601690496561,1.0,WTI - SUM,MLLM
gemma2,en_th_th,3.1471961228288743,0.32113261376616453,0.13110246235246234,0.16211997185510818,1.0,WTI - SUM,MLLM
gemma2,th_en_en,2.8677250266230847,0.32724785687070557,0.005073051948051949,0.07252873277824909,1.0,WTI - SUM,MLLM
gemma2,th_en_th,3.456575408912087,0.2808744145399014,0.10179700198663537,0.22467061559761242,1.0,WTI - SUM,MLLM
gemma2,th_th_en,3.127607817919285,0.32763273463740006,0.06632071632071632,0.09176014483007007,1.0,WTI - SUM,MLLM
gemma2,th_th_th,2.705950413065699,0.3284580356310938,0.023771880293619426,0.1342423165863915,1.0,WTI - SUM,MLLM
llama31,en_en_en,2.845113472527088,0.39590984306283383,0.0017654476670870111,0.07784302965111142,1.0,WTI - SUM,MLLM
llama31,en_en_th,7.549209723827279,0.09841187888499042,0.31936037550791646,1.1641793612923745,1.0,WTI - SUM,MLLM
llama31,en_th_en,7.756541290929169,0.05401786872869973,0.8829900518425109,0.44558661247591796,1.0,WTI - SUM,MLLM
llama31,en_th_th,4.497624498629627,0.31037755078834856,0.050945775535939465,0.4709760223962639,1.0,WTI - SUM,MLLM
llama31,th_en_en,4.819253362243995,0.29546126696568165,0.2559794031105507,0.3684869416696173,1.0,WTI - SUM,MLLM
llama31,th_en_th,6.76954227147315,0.14393739583604348,0.18297604035308954,0.97235429564167,1.0,WTI - SUM,MLLM
llama31,th_th_en,7.583318053301699,0.049053990812945016,0.8900658540002802,0.3907248611422818,1.0,WTI - SUM,MLLM
llama31,th_th_th,4.142061031127487,0.31286696525211255,0.05202466022138154,0.372320971851838,1.0,WTI - SUM,MLLM
